0,0
1,2
2,1
3,1
4,2
5,0
6,1
7,0
8,2
9,1
10,1
11,1
12,1
13,1
14,0
15,2
16,1
17,2
18,2
19,1
20,1
21,2
22,0
23,2
24,2
25,1
26,2
27,2
28,0
29,1
30,1
31,3
32,1
33,1
34,1
35,1
36,3
37,2
38,1
39,2
40,0
41,1
42,0
43,1
44,4
45,1
46,2
47,2
48,2
49,3
50,2
51,2
52,1
53,1
54,3
55,1
56,1
57,2
58,1
59,3
60,1
61,2
62,3
63,2
64,4
65,1
66,3
67,3
68,1
69,3
70,3
71,1
72,2
73,4
74,2
75,2
76,3
77,4
78,4
79,3
80,5
81,1
82,2
83,3
84,3
85,4
86,2
87,3
88,1
89,3
90,1
91,2
92,2
93,3
94,2
95,2
96,3
97,3
98,3
99,3
100,4
